ADDRESS,INC1,INC2,INC3,INC4,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,ObjectId
N 1 ST / O-Q,5222,0,0,0,1,C3-040690,925,5/14/2023,SUN,5/14/2023,840,SUN,5/14/2023,925,0,0,11147
7900 BLOCK BLANCHARD BLVD,23900,0,0,0,88,C3-042008,1010,5/18/2023,TUE,5/16/2023,1700,THU,5/18/2023,1010,0,0,11148
1400 BLOCK SUPERIOR ST,61000,0,0,0,17,C3-041131,1753,5/15/2023,MON,5/15/2023,1731,,,1753,0,0,11149
1200 BLOCK RADCLIFF ST,5222,0,0,0,75,C3-041517,2101,5/16/2023,TUE,5/16/2023,2058,,,2101,0,0,11150
5400 BLOCK SHADY CREEK CT,23600,0,0,0,84,C3-041825,1826,5/17/2023,TUE,5/16/2023,1930,WED,5/17/2023,1826,0,0,11151
4900 BLOCK WALKER AVE,42000,0,0,0,2,C3-040693,1002,5/14/2023,SAT,5/13/2023,1400,SUN,5/14/2023,1002,0,600,11152
5200 BLOCK VINE ST,25211,0,0,0,89,C3-042009,1013,5/18/2023,,5/18/2023,855,,,1013,0,0,11153
100 BLOCK CENTENNIAL MALL,12000,0,0,0,74,C3-041132,1757,5/15/2023,MON,5/15/2023,1745,MON,5/15/2023,1757,0,0,11154
7300 BLOCK YOSEMITE DR,6000,0,0,0,80,C3-041526,2026,5/16/2023,TUE,5/16/2023,830,TUE,5/16/2023,2026,0,0,11155
1300 BLOCK E ST,41000,0,0,0,84,C3-041826,1850,5/17/2023,WED,5/17/2023,610,WED,5/17/2023,1850,0,0,11156
4700 BLOCK PRESCOTT AVE,24000,0,0,0,28,C3-040694,1015,5/14/2023,SUN,5/14/2023,1015,,,1015,0,0,11157
3000 BLOCK CENTER ST,61000,0,0,0,80,C3-042014,1020,5/18/2023,MON,5/15/2023,751,THU,5/18/2023,1020,0,0,11158
4800 BLOCK VAN DORN ST,29600,0,0,0,16,C3-041135,1811,5/15/2023,MON,5/15/2023,1500,MON,5/15/2023,1811,0,0,11159
CITY OF OMAHA,31222,0,0,0,99,C3-041532,2056,5/16/2023,TUE,5/16/2023,800,TUE,5/16/2023,2056,0,0,11160
2200 BLOCK C ST,23900,0,0,0,80,C3-041830,1808,5/17/2023,WED,5/17/2023,1600,WED,5/17/2023,1808,0,0,11161
1100 BLOCK E ST,13000,0,0,0,84,C3-040703,1108,5/14/2023,SUN,5/14/2023,1108,,,1108,0,0,11162
3200 BLOCK HOLDREGE ST,12000,0,0,0,63,C3-042019,1023,5/18/2023,THU,5/18/2023,1020,,,1023,0,0,11163
1700 BLOCK SOUTH ST,27111,8333,0,0,18,C3-041138,1726,5/15/2023,MON,5/15/2023,1726,,,1726,0,0,11164
3100 BLOCK S 72ND ST,23400,0,0,0,84,C3-041533,2032,5/16/2023,TUE,5/16/2023,1250,TUE,5/16/2023,2032,0,0,11165
INTERNET,24000,0,0,0,69,C3-041838,1949,5/17/2023,TUE,4/11/2023,0,WED,5/17/2023,1949,0,0,11166
3900 BLOCK HOLDREGE ST,11200,0,0,0,82,C3-040707,1125,5/14/2023,FRI,5/12/2023,1910,SUN,5/14/2023,1125,0,0,11167
CITY OF LINCOLN,29510,0,0,0,69,C3-042023,1043,5/18/2023,FRI,2/17/2023,1900,WED,5/17/2023,1043,0,0,11168
4800 BLOCK N 15TH ST,12000,0,0,0,84,C3-041535,2137,5/16/2023,TUE,5/16/2023,2100,TUE,5/16/2023,2137,0,0,11169
1500 BLOCK SUPERIOR ST,27111,0,0,0,84,C3-041150,1859,5/15/2023,MON,5/15/2023,1845,MON,5/15/2023,1859,0,0,11170
3500 BLOCK PAWNEE ST,13000,0,0,0,80,C3-041844,2000,5/17/2023,WED,5/17/2023,1800,WED,5/17/2023,2000,0,0,11171
3700 BLOCK SPRUCE ST,25211,0,0,0,80,C3-040709,1123,5/14/2023,,5/14/2023,1800,,,1123,0,0,11172
3400 BLOCK PORTIA ST,25211,0,0,0,84,C3-042026,1046,5/18/2023,,5/16/2023,1600,,,1046,0,0,11173
300 BLOCK N 48TH ST,42000,0,0,0,7,C3-041152,1920,5/15/2023,MON,5/15/2023,1715,MON,5/15/2023,1920,0,50,11174
3700 BLOCK S 33RD ST,12000,0,0,0,88,C3-041845,2001,5/17/2023,WED,5/17/2023,1915,,,2001,0,0,11175
400 BLOCK OREGON TRL,25211,0,0,0,80,C3-041538,1942,5/16/2023,,5/16/2023,1230,,,1942,0,0,11176
700 BLOCK FOLSOM LN,42000,0,0,0,84,C3-040713,1137,5/14/2023,SAT,5/13/2023,1800,SAT,5/13/2023,1137,0,500,11177
2800 BLOCK TIERRA DR,42100,0,0,0,10,C3-042027,1045,5/18/2023,WED,5/17/2023,930,THU,5/18/2023,1045,0,100,11178
N 46TH ST / Q ST,9000,0,0,0,1,C3-041157,1917,5/15/2023,MON,5/15/2023,1900,MON,5/15/2023,1917,0,0,11179
5300 BLOCK W LUKE ST,12000,0,0,0,82,C3-041851,1936,5/17/2023,WED,5/17/2023,1100,WED,5/17/2023,1936,0,0,11180
1300 BLOCK D ST,5222,0,0,0,84,C3-041540,2218,5/16/2023,TUE,5/16/2023,2200,TUE,5/16/2023,2218,0,0,11181
5800 BLOCK S 84TH ST,23600,42000,0,0,94,C3-040717,1134,5/14/2023,TUE,5/9/2023,750,TUE,5/9/2023,1134,0,500,11182
3200 BLOCK HOLDREGE ST,42000,0,0,0,83,C3-042030,1059,5/18/2023,WED,5/17/2023,2100,THU,5/18/2023,1059,0,500,11183
6700 BLOCK MORRILL AVE,23600,0,0,0,2,C3-041159,2104,5/15/2023,MON,5/8/2023,800,MON,5/15/2023,2104,0,0,11184
N 44TH ST / ADAMS ST,27111,26111,0,0,3,C3-041852,1908,5/17/2023,WED,5/17/2023,1908,,,1908,0,0,11185
700 BLOCK S 11TH ST,23400,0,0,0,84,C3-041543,2222,5/16/2023,MON,5/15/2023,2200,TUE,5/16/2023,2222,0,0,11186
2700 BLOCK GARFIELD ST,42000,8222,0,0,80,C3-040718,1156,5/14/2023,SUN,5/14/2023,1,SUN,5/14/2023,1156,0,75,11187
1200 BLOCK S 22ND ST,11999,0,0,0,83,C3-041161,1938,5/15/2023,THU,5/11/2023,1935,MON,5/15/2023,1938,0,0,11188
3000 BLOCK OVERLAND TRL,42000,0,0,0,1,C3-041855,2021,5/17/2023,SAT,4/15/2023,1,SUN,5/14/2023,2021,0,2500,11189
N 17TH ST / P ST EB,42000,0,0,0,1,C3-041545,2230,5/16/2023,TUE,5/16/2023,2210,TUE,5/16/2023,2230,0,500,11190
1900 BLOCK PROSPECT ST,6000,0,0,0,80,C3-040719,1200,5/14/2023,SAT,5/13/2023,2030,SUN,5/14/2023,1200,0,0,11191
200 BLOCK S 26TH ST,61000,0,0,0,69,C3-041166,1807,5/15/2023,MON,5/8/2023,1,SUN,5/14/2023,1807,0,0,11192
1700 BLOCK EUCLID AVE,5222,0,0,0,83,C3-041858,2047,5/17/2023,WED,5/17/2023,2015,WED,5/17/2023,2047,0,0,11193
4800 BLOCK MADISON AVE,41000,0,0,0,80,C3-041546,2234,5/16/2023,TUE,5/16/2023,2225,TUE,5/16/2023,2234,0,0,11194
2600 BLOCK FAIRFIELD ST,23900,0,0,0,2,C3-040723,1218,5/14/2023,SUN,5/14/2023,1145,SUN,5/14/2023,1218,0,0,11195
W VAN DORN ST/HIGHWAY 77,12000,0,0,0,1,C3-041863,2105,5/17/2023,WED,5/17/2023,2055,WED,5/17/2023,2105,0,0,11196
300 BLOCK W O ST,23300,0,0,0,25,C3-040726,1228,5/14/2023,SUN,5/14/2023,1215,SUN,5/14/2023,1228,0,0,11197
400 BLOCK N 84TH ST,23300,0,0,0,28,C3-041864,2106,5/17/2023,WED,5/17/2023,2101,,,2106,0,0,11198
