ADDRESS,RD,INC_,TYPE_CODE,CALL_TYPE,LOC_CODE,CASE_NUMBER,TIME,DATE,DAY_FROM,DATE_FROM,TIME_FROM,DAY_TO,DATE_TO,TIME_TO,LOSS,DAMG,FID
3200 BLOCK OF N 14TH ST,127,51000,9211,EMBEZZLEMENT,28,B6-024454,823,2016/03/23 00:00:00+00,TUE,2016/03/01 00:00:00+00,630,WED,2016/03/23 00:00:00+00,630,0,0,6741
33RD & HOLDREGE,14,27111,8600,NARCOTICS,1,B6-024393,112,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,111,WED,2016/03/23 00:00:00+00,112,0,0,6742
3400 BLOCK OF N 27TH ST,113,23300,6203,LSL $1-49,28,B6-024515,1246,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1235,,,,28,0,6743
3400 BLOCK OF N 27TH ST,113,27111,8600,NARCOTICS,17,B6-024517,1256,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1255,,,,0,0,6744
3400 BLOCK OF N 85TH ST,193,23300,6201,LSL $200 +,17,B6-024538,1343,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,2202,TUE,2016/03/22 00:00:00+00,2208,1845,0,6745
3400 BLOCK OF N 85TH ST,193,23300,6202,LSL $50-199,17,B6-024546,1438,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,42,WED,2016/03/23 00:00:00+00,58,139,104,6746
3400 BLOCK OF PLANTATION DR,178,29200,9100,FRAUD,61,B6-024531,1341,2016/03/23 00:00:00+00,THU,2016/01/28 00:00:00+00,1,SAT,2016/02/20 00:00:00+00,2359,0,0,6747
3500 BLOCK OF A ST,61,11200,9910,DEATH,82,B6-024540,1410,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,2200,WED,2016/03/23 00:00:00+00,1410,0,0,6748
3500 BLOCK OF HARTLEY CIR,127,9300,7500,CHILD A/N,80,B6-024479,1015,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,945,WED,2016/03/23 00:00:00+00,1010,0,0,6749
3500 BLOCK OF N 27TH ST,113,23300,6202,LSL $50-199,28,B6-024524,1307,2016/03/23 00:00:00+00,WED,2016/03/23 00:00:00+00,1304,,,,189,0,6750
2000 BLOCK OF NW 57TH ST,221,23400,6602,LFB $50-199,80,B6-025691,1937,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,1900,SUN,2016/03/27 00:00:00+00,1920,150,0,6751
2200 BLOCK OF A ST,97,5100,4152,ASLT NO WEAP,84,B6-025717,2129,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,800,SUN,2016/03/27 00:00:00+00,2129,0,0,6752
2200 BLOCK OF A ST,97,9000,7500,CHILD A/N,84,B6-025720,2153,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,2129,,,,0,0,6753
2200 BLOCK OF DUDLEY ST,16,6000,5133,BURG RU ATT,80,B6-025702,2036,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,1200,SUN,2016/03/27 00:00:00+00,2030,0,250,6754
2300 BLOCK OF S 16TH ST,95,27111,8600,NARCOTICS,97,B6-025570,737,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,735,,,,0,0,6755
2400 BLOCK OF EMILY LN,174,42000,9443,VAND/VEH,1,B6-025604,1222,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,0,SUN,2016/03/27 00:00:00+00,900,0,10,6756
2400 BLOCK OF EMILY LN,174,23600,6401,LAA $200 +,1,B6-025610,1243,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,0,SUN,2016/03/27 00:00:00+00,900,300,0,6757
6100 BLOCK OF O ST,47,54111,9800,LOST/STOLE,28,B6-024474,1001,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,1430,TUE,2016/03/22 00:00:00+00,1530,110,0,6758
2400 BLOCK OF EMILY LN,174,23500,6304,LFA ATTEMPT,1,B6-025611,1243,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,0,SUN,2016/03/27 00:00:00+00,900,0,0,6759
6100 BLOCK OF S 34TH ST,178,23500,6301,LFA $200 +,84,B6-024481,1019,2016/03/23 00:00:00+00,TUE,2016/03/22 00:00:00+00,2200,WED,2016/03/23 00:00:00+00,1019,370,0,6760
2400 BLOCK OF EMILY LN,174,23500,6304,LFA ATTEMPT,80,B6-025612,1243,2016/03/27 00:00:00+00,SUN,2016/03/27 00:00:00+00,0,SUN,2016/03/27 00:00:00+00,900,0,0,6761
