VDAT,AGE,RACE,SEX,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
2018/11/06 00:00:00+00,48,W,M,1829,LB617547,5,B8-116392,7151 STACY,HY-VEE,-,12309,THEFT BY SHOPLIFTING $0-$500,C,78
2018/12/31 00:00:00+00,16,W,M,755,LB615755,1,,A,S 84,REGENCY,1685,VIOLATE SPEED LIMIT 16 - 20 OVER,C,79
2019/01/02 00:00:00+00,33,W,M,2100,LB618164,1,B9-000478,3400 N 27,SHOPKO,-,12309,THEFT BY SHOPLIFTING $0-$500,B,80
2018/12/31 00:00:00+00,49,W,M,735,LB615754,1,,A,S 84,REGENCY,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,81
2018/12/31 00:00:00+00,29,W,F,710,LB615753,1,,A,S 84,REGENCY,1684,VIOLATE SPEED LIMIT 11 - 15 OVER,C,82
2019/01/02 00:00:00+00,20,A,F,2348,LB620108,1,,N 27,THERESA,-,2229,OPERATE A MTR VEH W/O LICENSE ON PERSON,C,83
2019/01/02 00:00:00+00,20,A,F,2348,LB620108,2,,N 27,THERESA,-,2167,IMPROPER REGISTRATION,C,84
2019/01/02 00:00:00+00,20,A,F,2348,LB620108,3,,N 27,THERESA,-,2181,OPERATE M/V W/O HEADLIGHTS/TAILLIGHTS,C,85
2019/01/02 00:00:00+00,28,W,M,1939,LB615806,1,,S 27,O,K,2167,IMPROPER REGISTRATION,C,86
2019/01/02 00:00:00+00,35,A,M,1700,LB619507,1,B9-000414,741 N 48,POPEYES,-,11907,DOMESTIC ASSAULT-3RD DEGREE,B,87
2019/01/02 00:00:00+00,35,A,M,1700,LB619507,2,B9-000414,741 N 48,POPEYES,-,9462,CHILD ABUSE (M),B,88
2019/01/02 00:00:00+00,22,W,M,1710,LB610472,1,,S 26,OLD CHENEY,-,2167,IMPROPER REGISTRATION,C,89
2018/12/29 00:00:00+00,54,W,M,1627,LB608976,1,B8-120015,W A,S CODDINGTON,SW 16,2112,NEGLIGENT DRIVING,C,90
2018/12/29 00:00:00+00,54,W,M,1627,LB608976,2,B8-120015,W A,S CODDINGTON,SW 16,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,91
2018/12/17 00:00:00+00,20,B,M,2330,LB615461,1,B8-116876,4400 NW 49,-,-,1296,"ASSAULT, STRIKE OR CAUSE BODILY INJURY",B,92
2018/12/17 00:00:00+00,20,B,M,2330,LB615461,2,B8-116876,4400 NW 49,-,-,2037,LOITER AND TRESPASS,B,93
2019/01/02 00:00:00+00,26,W,F,1614,LB615804,1,B9-000395,S 56,NORMAL,-,2112,NEGLIGENT DRIVING,C,94
2019/01/02 00:00:00+00,23,W,F,1755,LB618272,1,B9-000431,S 56,SHADY CREEK CT,-,2205,IMPROPER RIGHT TURN,C,95
