AGE,RACE,SEX,VDAT,VTIM,TICK_,CHGNO,RKY,ONST,ATST,BTST,CITED,CHARGED,CB,ObjectId
25,W,M,2020/12/29 00:00:00+00,0,LB676837,3,C0-119037,N 1,W DAWES,-,1350,DRIVE TOO FAST FOR THE CONDITIONS,C,74
25,W,M,2020/12/29 00:00:00+00,0,LB676837,4,C0-119037,N 1,W DAWES,-,2167,IMPROPER REGISTRATION,C,75
25,W,M,2020/12/29 00:00:00+00,0,LB676837,5,C0-119037,N 1,W DAWES,-,2221,FICTITIOUS LICENSE PLATES,C,76
25,W,M,2020/12/29 00:00:00+00,0,LB676837,6,C0-119037,N 1,W DAWES,-,1382,NO PROOF OF FINANCIAL RESPONSIBILITY,C,77
38,W,F,2020/12/31 00:00:00+00,2335,2020007019,1,,2440 LYNN,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,78
25,B,M,2021/01/01 00:00:00+00,315,2021000002,1,,3002 DUDLEY,-,-,677,ARRESTED ON COUNTY BENCH WARRANT,B,79
18,B,M,2020/12/31 00:00:00+00,2112,LB671766,1,C0-119712,EAGLE RIDGE,EAGLE RIDGE,WOODY CREEK,11088,POSS CONTROLLED SUBSTANCE,C,80
18,B,M,2020/12/31 00:00:00+00,2112,LB671766,2,C0-119712,EAGLE RIDGE,EAGLE RIDGE,WOODY CREEK,11088,POSS CONTROLLED SUBSTANCE,C,81
18,B,M,2020/12/31 00:00:00+00,2112,LB671766,3,C0-119712,EAGLE RIDGE,EAGLE RIDGE,WOODY CREEK,11088,POSS CONTROLLED SUBSTANCE,C,82
43,W,M,2020/12/31 00:00:00+00,1745,LB661506,1,C0-119645,4700 N 27,-,-,12312,"THEFT BY SHOPLIFTING $0-$500, 3RD/SUBSQ",C,83
0,,,2020/12/31 00:00:00+00,21,XX2210007,1,C0-119740,1409 O,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,84
38,B,M,2021/01/02 00:00:00+00,130,LO1800023,1,C1-000342,56TH STREET / R,ST - VINE ST,,2147,AFTER REVOCATION BUT BEFORE NEW LICENSE,C,85
0,,,2021/01/02 00:00:00+00,56,XX2210008,1,C1-000332,1409 O,,,2261,VIOLATE ORDER OF THE HEALTH DIRECTOR,C,86
38,W,F,2021/01/04 00:00:00+00,245,LB675315,2,C1-000826,HOLDREGE,N 70,N 69,11379,DRIVE DURING SUSPENSION/BEFORE REINSTATED,B,87
